               table_name               |                   column_name                   |          data_type          | character_maximum_length 
 trabajos_extra_gasto_general           | frontend_id                                     | bigint                      |                         
 trabajos_extra_gasto_general           | observaciones                                   | text                        |                         
 trabajos_extra_gasto_general           | orden                                           | integer                     |                         
 trabajos_extra_gasto_general           | precio_unitario                                 | numeric                     |                         
 trabajos_extra_gasto_general           | sin_cantidad                                    | boolean                     |                         
 trabajos_extra_gasto_general           | sin_precio                                      | boolean                     |                         
 trabajos_extra_gasto_general           | subtotal                                        | numeric                     |                         
 trabajos_extra_gasto_general           | updated_at                                      | timestamp without time zone |                         
 trabajos_extra_gasto_general           | item_calculadora_id                             | bigint                      |                         
 trabajos_extra_items_calculadora       | id                                              | bigint                      |                         
 trabajos_extra_items_calculadora       | cantidad_jornales                               | numeric                     |                         
 trabajos_extra_items_calculadora       | created_at                                      | timestamp without time zone |                         
 trabajos_extra_items_calculadora       | descripcion                                     | character varying           |                      500
 trabajos_extra_items_calculadora       | descripcion_gastos_generales                    | character varying           |                      500
 trabajos_extra_items_calculadora       | descripcion_materiales                          | character varying           |                      500
 trabajos_extra_items_calculadora       | descripcion_profesionales                       | character varying           |                      500
 trabajos_extra_items_calculadora       | descripcion_total_manual                        | character varying           |                      500
 trabajos_extra_items_calculadora       | empresa_id                                      | bigint                      |                         
 trabajos_extra_items_calculadora       | es_gasto_general                                | boolean                     |                         
 trabajos_extra_items_calculadora       | es_modo_manual                                  | boolean                     |                         
 trabajos_extra_items_calculadora       | es_rubro_vacio                                  | boolean                     |                         
 trabajos_extra_items_calculadora       | importe_jornal                                  | numeric                     |                         
 trabajos_extra_items_calculadora       | incluir_en_calculo_dias                         | boolean                     |                         
 trabajos_extra_items_calculadora       | materiales                                      | numeric                     |                         
 trabajos_extra_items_calculadora       | observaciones                                   | text                        |                         
 trabajos_extra_items_calculadora       | observaciones_gastos_generales                  | text                        |                         
 trabajos_extra_items_calculadora       | observaciones_materiales                        | text                        |                         
 trabajos_extra_items_calculadora       | observaciones_profesionales                     | text                        |                         
 trabajos_extra_items_calculadora       | observaciones_total_manual                      | text                        |                         
 trabajos_extra_items_calculadora       | subtotal_gastos_generales                       | numeric                     |                         
 trabajos_extra_items_calculadora       | subtotal_mano_obra                              | numeric                     |                         
 trabajos_extra_items_calculadora       | subtotal_materiales                             | numeric                     |                         
 trabajos_extra_items_calculadora       | tipo_profesional                                | character varying           |                      255
 trabajos_extra_items_calculadora       | total                                           | numeric                     |                         
 trabajos_extra_items_calculadora       | total_manual                                    | numeric                     |                         
 trabajos_extra_items_calculadora       | trabaja_en_paralelo                             | boolean                     |                         
 trabajos_extra_items_calculadora       | updated_at                                      | timestamp without time zone |                         
 trabajos_extra_items_calculadora       | trabajo_extra_id                                | bigint                      |                         
 trabajos_extra_jornal_calculadora      | id                                              | bigint                      |                         
 trabajos_extra_jornal_calculadora      | cantidad                                        | numeric                     |                         
 trabajos_extra_jornal_calculadora      | empresa_id                                      | bigint                      |                         
 trabajos_extra_jornal_calculadora      | frontend_id                                     | bigint                      |                         
 trabajos_extra_jornal_calculadora      | incluir_en_calculo_dias                         | boolean                     |                         
 trabajos_extra_jornal_calculadora      | observaciones                                   | text                        |                         
 trabajos_extra_jornal_calculadora      | profesional_obra_id                             | bigint                      |                         
 trabajos_extra_jornal_calculadora      | rol                                             | character varying           |                      255
 trabajos_extra_jornal_calculadora      | subtotal                                        | numeric                     |                         
 trabajos_extra_jornal_calculadora      | valor_unitario                                  | numeric                     |                         
 trabajos_extra_jornal_calculadora      | item_calculadora_id                             | bigint                      |                         
 trabajos_extra_material_calculadora    | id                                              | bigint                      |                         
 trabajos_extra_material_calculadora    | cantidad                                        | numeric                     |                         
 trabajos_extra_material_calculadora    | descripcion                                     | character varying           |                      500
 trabajos_extra_material_calculadora    | empresa_id                                      | bigint                      |                         
 trabajos_extra_material_calculadora    | frontend_id                                     | bigint                      |                         
 trabajos_extra_material_calculadora    | nombre                                          | character varying           |                      255
 trabajos_extra_material_calculadora    | obra_material_id                                | bigint                      |                         
 trabajos_extra_material_calculadora    | observaciones                                   | text                        |                         
 trabajos_extra_material_calculadora    | precio                                          | numeric                     |                         
 trabajos_extra_material_calculadora    | subtotal                                        | numeric                     |                         
 trabajos_extra_material_calculadora    | unidad                                          | character varying           |                      100
 trabajos_extra_material_calculadora    | item_calculadora_id                             | bigint                      |                         
 trabajos_extra_pdf                     | id_pdf_trabajo_extra                            | bigint                      |                         
 trabajos_extra_pdf                     | contenido_pdf                                   | bytea                       |                         
 trabajos_extra_pdf                     | empresa_id                                      | bigint                      |                         
 trabajos_extra_pdf                     | fecha_generacion                                | timestamp without time zone |                         
 trabajos_extra_pdf                     | generado_por                                    | character varying           |                      100
 trabajos_extra_pdf                     | incluye_configuracion                           | boolean                     |                         
 trabajos_extra_pdf                     | incluye_honorarios                              | boolean                     |                         
 trabajos_extra_pdf                     | nombre_archivo                                  | character varying           |                      255
 trabajos_extra_pdf                     | tamanio_bytes                                   | bigint                      |                         
 trabajos_extra_pdf                     | trabajo_extra_id                                | bigint                      |                         
 trabajos_extra_pdf                     | version_trabajo_extra                           | integer                     |                         
 trabajos_extra_profesional_calculadora | id                                              | bigint                      |                         
 trabajos_extra_profesional_calculadora | cantidad_jornales                               | numeric                     |                         
 trabajos_extra_profesional_calculadora | created_at                                      | timestamp without time zone |                         
 trabajos_extra_profesional_calculadora | empresa_id                                      | bigint                      |                         
 trabajos_extra_profesional_calculadora | frontend_id                                     | bigint                      |                         
 trabajos_extra_profesional_calculadora | incluir_en_calculo_dias                         | boolean                     |                         
 trabajos_extra_profesional_calculadora | nombre_completo                                 | character varying           |                      255
 trabajos_extra_profesional_calculadora | observaciones                                   | text                        |                         
 trabajos_extra_profesional_calculadora | profesional_obra_id                             | bigint                      |                         
 trabajos_extra_profesional_calculadora | rol                                             | character varying           |                      255
 trabajos_extra_profesional_calculadora | subtotal                                        | numeric                     |                         
 trabajos_extra_profesional_calculadora | updated_at                                      | timestamp without time zone |                         
 trabajos_extra_profesional_calculadora | valor_jornal                                    | numeric                     |                         
 trabajos_extra_profesional_calculadora | item_calculadora_id                             | bigint                      |                         
 trabajos_extra_profesionales           | importe                                         | numeric                     |                         
 trabajos_extra_profesionales           | id                                              | bigint                      |                         
 trabajos_extra_profesionales           | profesional_id                                  | bigint                      |                         
 trabajos_extra_profesionales           | trabajo_extra_id                                | bigint                      |                         
 trabajos_extra_profesionales           | tipo                                            | character varying           |                       50
 trabajos_extra_profesionales           | especialidad                                    | character varying           |                      255
 trabajos_extra_profesionales           | nombre                                          | character varying           |                      255
 trabajos_extra_profesionales           | estado_pago                                     | character varying           |                       50
 trabajos_extra_tareas                  | importe                                         | numeric                     |                         
 trabajos_extra_tareas                  | id                                              | bigint                      |                         
 trabajos_extra_tareas                  | trabajo_extra_id                                | bigint                      |                         
 trabajos_extra_tareas                  | estado                                          | character varying           |                       50
 trabajos_extra_tareas                  | descripcion                                     | text                        |                         
 trabajos_extra_tareas                  | estado_pago                                     | character varying           |                       50
 trabajos_extra_tareas_profesionales    | profesional_index                               | integer                     |                         
 trabajos_extra_tareas_profesionales    | tarea_id                                        | bigint                      |                         
(202 filas)

